rep,model,calib,estimator,estimate,ece,r2g0,ATE_true
3,rf,raw,IPW-N,6.3967417954245,0.05186833333333334,0.5377795043363094,5.363237518910742
3,rf,raw,AIPW,5.568700901624436,0.05186833333333334,0.5377795043363094,5.363237518910742
3,rf,raw,AIPW-N,5.512853730859618,0.05186833333333334,0.5377795043363094,5.363237518910742
3,rf,platt,IPW,6.748706668706462,0.024822191773668702,0.5377795043363094,5.363237518910742
3,rf,platt,IPW-N,5.139876394124837,0.024822191773668702,0.5377795043363094,5.363237518910742
3,rf,platt,AIPW,5.103483394723745,0.024822191773668702,0.5377795043363094,5.363237518910742
3,rf,platt,AIPW-N,5.139084115708569,0.024822191773668702,0.5377795043363094,5.363237518910742
3,rf,beta,IPW,6.391346476175461,0.02130155354456144,0.5377795043363094,5.363237518910742
3,rf,beta,IPW-N,5.021563652175777,0.02130155354456144,0.5377795043363094,5.363237518910742
3,rf,beta,AIPW,4.981000471707705,0.02130155354456144,0.5377795043363094,5.363237518910742
3,rf,beta,AIPW-N,5.023486672689497,0.02130155354456144,0.5377795043363094,5.363237518910742
3,rf,iso,IPW,11.815581917766101,0.026668597674750796,0.5377795043363094,5.363237518910742
3,rf,iso,IPW-N,2.777338019662558,0.026668597674750796,0.5377795043363094,5.363237518910742
3,rf,iso,AIPW,3.3377678344636528,0.026668597674750796,0.5377795043363094,5.363237518910742
3,rf,iso,AIPW-N,4.308617909119846,0.026668597674750796,0.5377795043363094,5.363237518910742
3,boost,raw,IPW,35.63066467793917,0.1499393786787914,0.5377795043363094,5.363237518910742
3,boost,raw,IPW-N,-0.13942783247994228,0.1499393786787914,0.5377795043363094,5.363237518910742
3,boost,raw,AIPW,-5.406559896822736,0.1499393786787914,0.5377795043363094,5.363237518910742
3,boost,raw,AIPW-N,2.9827186233493768,0.1499393786787914,0.5377795043363094,5.363237518910742
3,boost,platt,IPW,7.8616001712888925,0.02251161235251217,0.5377795043363094,5.363237518910742
3,boost,platt,IPW-N,5.573023158766691,0.02251161235251217,0.5377795043363094,5.363237518910742
3,boost,platt,AIPW,5.103591652085625,0.02251161235251217,0.5377795043363094,5.363237518910742
3,boost,platt,AIPW-N,5.161310869799431,0.02251161235251217,0.5377795043363094,5.363237518910742
3,boost,beta,IPW,6.912235240159318,0.020591952870523754,0.5377795043363094,5.363237518910742
3,boost,beta,IPW-N,5.392426275098748,0.020591952870523754,0.5377795043363094,5.363237518910742
3,boost,beta,AIPW,4.92629346611599,0.020591952870523754,0.5377795043363094,5.363237518910742
3,boost,beta,AIPW-N,4.988158432896488,0.020591952870523754,0.5377795043363094,5.363237518910742
3,boost,iso,IPW,4.465642951816693,0.04731056149741287,0.5377795043363094,5.363237518910742
3,boost,iso,IPW-N,2.4058930798355362,0.04731056149741287,0.5377795043363094,5.363237518910742
3,boost,iso,AIPW,2.751933683111868,0.04731056149741287,0.5377795043363094,5.363237518910742
3,boost,iso,AIPW-N,3.886687238860651,0.04731056149741287,0.5377795043363094,5.363237518910742
4,logit,raw,IPW,50.18025338133219,0.21298287120592624,0.4880184876614958,5.363237518910742
4,logit,raw,IPW-N,3.158899315302259,0.21298287120592624,0.4880184876614958,5.363237518910742
